Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2012-04-27 00:00:00+05:30,25.86247576200045,27.36416726651973,25.528766715579525,27.1138858795166,78710,0.0,0.0
2012-04-30 00:00:00+05:30,26.738460793119394,28.53214980632801,26.69674776124252,28.115013122558594,71472,0.0,0.0
2012-05-02 00:00:00+05:30,27.53102084372541,29.950414857537766,27.53102084372541,28.990999221801758,212939,0.0,0.0
2012-05-03 00:00:00+05:30,28.615582257533926,29.199574381667485,28.365300827905557,28.740724563598633,75842,0.0,0.0
2012-05-04 00:00:00+05:30,27.531026165117925,28.82414948485813,27.155602444547952,27.48931312561035,121812,0.0,0.0
2012-05-07 00:00:00+05:30,30.2007009858638,30.2007009858638,28.073304222063484,28.4487247467041,749327,0.0,0.0
2012-05-08 00:00:00+05:30,28.577643394470215,29.995783400692744,28.2338508842804,29.65199089050293,115386,1.0,0.0
2012-05-09 00:00:00+05:30,30.21065623728692,31.070134329060103,29.00738559734497,29.56604766845703,86486,0.0,0.0
2012-05-10 00:00:00+05:30,29.26522884735688,30.769315532537544,29.222255597795762,30.08173370361328,100880,0.0,0.0
2012-05-11 00:00:00+05:30,30.51146819919185,30.55444144233429,29.82388647296789,30.12470245361328,35595,0.0,0.0
2012-05-14 00:00:00+05:30,30.59741885847132,30.59741885847132,29.480097991141793,29.952810287475586,59301,0.0,0.0
2012-05-15 00:00:00+05:30,29.3511780475641,29.823890340732092,29.22225502276887,29.265228271484375,11032,0.0,0.0
2012-05-16 00:00:00+05:30,29.22225257250481,30.038757344230955,28.835486809197853,29.179279327392578,15341,0.0,0.0
2012-05-17 00:00:00+05:30,29.007384343580764,29.566046390546198,28.362775802612305,28.362775802612305,70941,0.0,0.0
2012-05-18 00:00:00+05:30,27.761143720931308,28.792518161552536,27.761143720931308,28.276832580566406,67353,0.0,0.0
2012-05-21 00:00:00+05:30,29.136308106216884,29.308201098606254,27.8041144646586,27.890064239501953,18793,0.0,0.0
2012-05-22 00:00:00+05:30,27.632221047796403,28.70656862696969,27.632221047796403,28.190879821777344,27018,0.0,0.0
2012-05-23 00:00:00+05:30,28.577647603690973,28.577647603690973,27.503299949416878,27.76114273071289,75726,0.0,0.0
2012-05-24 00:00:00+05:30,27.933034896850586,27.97600814096222,27.5032958984375,27.5032958984375,71190,0.0,0.0
2012-05-25 00:00:00+05:30,27.503300704355315,27.503300704355315,27.073561630849763,27.28843116760254,35001,0.0,0.0
2012-05-28 00:00:00+05:30,28.792514256573785,28.878460748865344,27.718166709686702,28.706567764282227,51792,0.0,0.0
