Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1996-01-01 00:00:00+05:30,38.37589691847097,38.49545074120397,38.01724457129603,38.25634765625,10750,0.0,0.0
1996-01-02 00:00:00+05:30,38.25635001174585,38.077023827117024,36.76196133941203,36.87553405761719,26500,0.0,0.0
1996-01-03 00:00:00+05:30,36.87552802188136,38.01724068946019,37.359710693359375,37.359710693359375,14250,0.0,0.0
1996-01-04 00:00:00+05:30,37.359711173620454,37.47328387469617,36.821730420617996,37.42546463012695,5500,0.0,0.0
1996-01-05 00:00:00+05:30,37.425463997250745,37.353733991481995,37.060832857521305,37.07278823852539,4250,0.0,0.0
1996-01-08 00:00:00+05:30,37.07278875554277,37.06083337437195,36.01476146461145,36.11637878417969,6500,0.0,0.0
1996-01-09 00:00:00+05:30,36.1163778587228,36.82172936793621,35.98487322972514,36.39732360839844,18000,0.0,0.0
1996-01-10 00:00:00+05:30,36.39731765941802,37.0608263672861,36.11637195566171,36.881500244140625,5000,0.0,0.0
1996-01-11 00:00:00+05:30,36.881518210882916,37.18039598847474,36.223985732027,37.06084442138672,2000,0.0,0.0
1996-01-12 00:00:00+05:30,37.060839545744855,37.41949191956895,36.88151335883281,36.941287994384766,5250,0.0,0.0
1996-01-15 00:00:00+05:30,37.0668115485926,37.0668115485926,36.88150883296701,36.89944076538086,60750,0.0,0.0
1996-01-16 00:00:00+05:30,36.899444842200715,36.82173599272854,36.522858258111405,36.576656341552734,7750,0.0,0.0
1996-01-17 00:00:00+05:30,36.57665515386741,36.941286343101304,36.469058990478516,36.469058990478516,4250,0.0,0.0
1996-01-18 00:00:00+05:30,36.469051263045415,36.10442243132886,35.566441728377214,35.98487091064453,7250,0.0,0.0
1996-01-19 00:00:00+05:30,35.984883109841185,35.59036455401653,35.028472900390625,35.028472900390625,17750,0.0,0.0
1996-01-22 00:00:00+05:30,35.02846331117981,34.75947522240699,34.58014678955078,34.58014678955078,4500,0.0,0.0
1996-01-23 00:00:00+05:30,34.58014469646031,34.66980890746115,33.47429825547974,33.53407287597656,12000,0.0,0.0
1996-01-24 00:00:00+05:30,33.53408388608273,33.65363544658386,31.920145800214726,32.39834976196289,11750,0.0,0.0
1996-01-25 00:00:00+05:30,32.398349088846494,32.577675285744284,31.20881462097168,31.20881462097168,7500,0.0,0.0
1996-01-26 00:00:00+05:30,31.20881462097168,31.20881462097168,31.20881462097168,31.20881462097168,0,0.0,0.0
1996-01-29 00:00:00+05:30,31.20881195894346,32.15924322971444,31.681039318691077,32.063602447509766,7000,0.0,0.0
1996-01-30 00:00:00+05:30,32.063604439306474,33.4384416239998,32.2787967826988,32.31466293334961,13000,0.0,0.0
1996-01-31 00:00:00+05:30,32.31465738251082,33.59385355932479,32.703197020000154,32.93632125854492,11750,0.0,0.0
1996-02-01 00:00:00+05:30,32.936322918210436,33.294977540414614,33.127604471283604,33.22324752807617,3750,0.0,0.0
1996-02-02 00:00:00+05:30,33.22324455848748,34.66981145933705,34.31115914944622,34.46059799194336,18250,0.0,0.0
1996-02-05 00:00:00+05:30,35.26756803442157,35.56644572962853,34.10194456706324,34.269317626953125,43250,0.0,0.0
1996-02-06 00:00:00+05:30,34.26932448034058,34.311167183617044,32.88252959940523,32.94230651855469,25250,0.0,0.0
1996-02-07 00:00:00+05:30,32.942300089421174,33.115649700738615,32.278791238020915,32.93632125854492,178500,0.0,0.0
1996-02-08 00:00:00+05:30,32.93632570621875,34.43071439126055,33.235203443227114,33.98837661743164,53500,0.0,0.0
1996-02-09 00:00:00+05:30,35.74577923825592,37.06084182352919,35.68600459903018,36.86956024169922,151500,0.0,0.0
1996-02-12 00:00:00+05:30,36.46308113439449,39.750735990774324,36.46308113439449,37.56892776489258,63250,0.0,0.0
1996-02-13 00:00:00+05:30,37.568925998071244,38.603044847251724,37.77814175633712,38.11886215209961,29750,0.0,0.0
1996-02-14 00:00:00+05:30,38.11886167337966,40.40826364212425,39.2725274836753,39.744754791259766,94000,0.0,0.0
1996-02-15 00:00:00+05:30,39.74475765120244,39.63118721954348,38.854103328763394,39.12907028198242,77500,0.0,0.0
1996-02-16 00:00:00+05:30,39.12907416335298,38.615004072708004,37.34776306152344,37.34776306152344,15250,0.0,0.0
1996-02-19 00:00:00+05:30,37.3477588929922,38.13081932509237,37.06083656098946,37.270050048828125,14500,0.0,0.0
1996-02-20 00:00:00+05:30,37.27004807969077,37.06083460290574,36.01476265846889,36.223976135253906,65000,0.0,0.0
1996-02-21 00:00:00+05:30,36.223976135253906,36.223976135253906,36.223976135253906,36.223976135253906,0,0.0,0.0
1996-02-22 00:00:00+05:30,36.223981182225195,37.2999428706181,36.71414049349032,37.21625518798828,17750,0.0,0.0
1996-02-23 00:00:00+05:30,37.21625632149845,37.06084089525048,36.04465609207139,36.55274963378906,36500,0.0,0.0
1996-02-26 00:00:00+05:30,36.55274977900782,36.815761378417086,36.223982429425895,36.42721939086914,35000,0.0,0.0
1996-02-27 00:00:00+05:30,36.42721485635753,37.778143396684285,35.98487711785677,36.08649444580078,33750,0.0,0.0
1996-02-28 00:00:00+05:30,36.08648863030179,37.06083045658354,36.22397208255843,36.24788284301758,22500,0.0,0.0
1996-02-29 00:00:00+05:30,36.24788271112522,35.74576814458829,34.19160520448882,34.8551139831543,21500,0.0,0.0
1996-03-01 00:00:00+05:30,34.85512173416304,34.96869445080336,34.32311745872713,34.84316635131836,18000,0.0,0.0
1996-03-04 00:00:00+05:30,34.84316207966715,35.29745517078979,35.02846479040198,35.07628631591797,69500,0.0,0.0
1996-03-05 00:00:00+05:30,35.07628631591797,35.07628631591797,35.07628631591797,35.07628631591797,0,0.0,0.0
1996-03-06 00:00:00+05:30,35.506674654001436,35.506674654001436,35.148020015727596,35.387123107910156,5000,0.0,0.0
1996-03-07 00:00:00+05:30,35.38713480271256,35.62623569365752,35.213785117604104,35.363224029541016,33000,0.0,0.0
1996-03-08 00:00:00+05:30,35.363213564438645,35.040425062916675,34.31116493905051,34.89696502685547,17250,0.0,0.0
1996-03-11 00:00:00+05:30,34.89696155326429,34.669813858478456,34.10194576164185,34.26333999633789,70500,0.0,0.0
1996-03-12 00:00:00+05:30,34.2633371423213,34.43070791387686,33.71340330420689,34.28126907348633,43250,0.0,0.0
1996-03-13 00:00:00+05:30,34.28127229164095,34.63992691040039,33.95250726797011,34.63992691040039,24750,0.0,0.0
1996-03-14 00:00:00+05:30,34.63992667531721,34.902938236417775,34.34104896850733,34.550262451171875,1750,0.0,0.0
1996-03-15 00:00:00+05:30,34.55027273308133,34.66982430743415,34.43072115872851,34.44267654418945,7500,0.0,0.0
1996-03-18 00:00:00+05:30,34.442676668463065,34.538317472239086,33.593864819983,34.430721282958984,12250,0.0,0.0
1996-03-19 00:00:00+05:30,34.43070370084708,34.13182605663746,33.354744637743515,33.707420349121094,30500,0.0,0.0
1996-03-20 00:00:00+05:30,33.707420349121094,33.707420349121094,33.707420349121094,33.707420349121094,0,0.0,0.0
1996-03-21 00:00:00+05:30,33.70742518212503,34.998576699026984,34.13780978117761,34.32311248779297,7750,0.0,0.0
1996-03-22 00:00:00+05:30,34.323114132207145,34.43071028712521,33.48027910551963,33.89870834350586,42500,0.0,0.0
1996-03-25 00:00:00+05:30,33.89870723899039,33.65362762305262,33.23519839869999,33.59385299682617,21250,0.0,0.0
1996-03-26 00:00:00+05:30,33.59384820383623,33.83294895488425,33.354745172532716,33.46234130859375,7000,0.0,0.0
1996-03-27 00:00:00+05:30,33.462354192186204,34.49049443028563,32.87655404823032,33.36073684692383,126750,0.0,0.0
1996-03-28 00:00:00+05:30,33.36073443142916,33.89273644812154,33.60581408901518,33.7432975769043,7000,0.0,0.0
1996-03-29 00:00:00+05:30,33.743293539651575,34.50244318823663,33.83295548350049,34.364959716796875,35750,0.0,0.0
1996-04-01 00:00:00+05:30,34.36496713041117,34.454629093603025,34.07206591136903,34.27530288696289,33250,0.0,0.0
1996-04-02 00:00:00+05:30,34.27530456364897,34.31117071883408,33.474312006567274,33.7492790222168,44000,0.0,0.0
1996-04-03 00:00:00+05:30,33.749264984926164,34.65785334939858,33.952501885929934,33.970436096191406,27000,0.0,0.0
1996-04-04 00:00:00+05:30,33.970436204479554,33.95250199416091,33.300948598888525,33.844905853271484,30500,0.0,0.0
1996-04-05 00:00:00+05:30,33.844905853271484,33.844905853271484,33.844905853271484,33.844905853271484,0,0.0,0.0
1996-04-08 00:00:00+05:30,33.84491571793287,34.3111665577688,33.958490722117034,34.07206344604492,21500,0.0,0.0
1996-04-09 00:00:00+05:30,34.072049934433835,34.78337787533096,33.59384618087882,33.934566497802734,60500,0.0,0.0
1996-04-10 00:00:00+05:30,33.93457721737401,34.311163789869994,34.10792684537681,34.191612243652344,27000,0.0,0.0
1996-04-11 00:00:00+05:30,34.191616473361805,34.072064912354904,33.474309387576746,33.85687255859375,47250,0.0,0.0
1996-04-12 00:00:00+05:30,33.85687110154469,34.07206344604492,33.87480303683429,34.07206344604492,6500,0.0,0.0
1996-04-15 00:00:00+05:30,34.07205903497074,34.19161057535517,33.952507494586314,34.01826095581055,12000,0.0,0.0
1996-04-16 00:00:00+05:30,34.01825489445139,34.311156002191424,33.53407226828112,34.08998489379883,13000,0.0,0.0
1996-04-17 00:00:00+05:30,34.0899965994513,35.554498080513554,34.31116778378855,35.46483612060547,77750,0.0,0.0
1996-04-18 00:00:00+05:30,35.464832612476705,37.65859406086444,34.131835927188966,36.62447738647461,132500,0.0,0.0
